Aleta Shepard,aleta.shepard@aol.com,11102.47,2016-11-09,2018-04-12
Araceli Golden,araceli.golden@msn.com,18037.28,2016-04-04,2018-04-10
Bobbie Foster,bobbie.foster@yahoo.com,8778.13,2016-11-12,2018-04-04
Bridgette Guerra,bridgette.guerra@hotmail.com,16935.64,2017-05-20,2018-04-11
Caren Stephens,caren.stephens@msn.com,5275.33,2016-05-30,2018-04-17
Charolette Rice,charolette.rice@msn.com,17520.29,2016-06-10,2018-04-17
Cleotilde Booth,cleotilde.booth@gmail.com,16179.12,2016-02-11,2018-04-12
Corene Wall,corene.wall@msn.com,14199.96,2016-04-20,2018-04-23
Daryl Spence,daryl.spence@aol.com,21150.89,2017-02-07,2018-04-18
Debra Burks,debra.burks@yahoo.com,27888.18,2016-12-09,2018-11-18
Deloris Burke,deloris.burke@hotmail.com,19043.9,2016-11-27,2018-07-11
Deshawn Mendoza,deshawn.mendoza@yahoo.com,3690.24,2017-08-19,2018-04-26
Elinore Aguilar,elinore.aguilar@msn.com,25636.45,2016-08-23,2018-04-10
Emmitt Sanchez,emmitt.sanchez@hotmail.com,31925.89,2016-08-03,2018-04-09
Garry Espinoza,garry.espinoza@hotmail.com,15766.7,2016-08-05,2018-04-22
Genoveva Baldwin,genoveva.baldwin@msn.com,24433.88,2016-02-16,2018-04-27
Georgetta Hardin,georgetta.hardin@aol.com,14877.29,2016-12-11,2018-04-14
Jacquline Duncan,jacquline.duncan@yahoo.com,2201.66,2016-10-19,2018-04-12
Jamaal Albert,jamaal.albert@gmail.com,10355.39,2016-08-03,2018-04-18
Jayne Kirkland,jayne.kirkland@hotmail.com,10802.63,2017-06-02,2018-04-09
Kasha Todd,kasha.todd@yahoo.com,19329.08,2017-02-05,2018-04-09
Keri Bridges,keri.bridges@gmail.com,8522.95,2016-09-01,2018-04-20
Lashawn Ortiz,lashawn.ortiz@msn.com,14774.46,2016-05-27,2018-04-12
Latasha Hays,latasha.hays@hotmail.com,7147.16,2016-03-03,2018-06-17
Linnie Branch,linnie.branch@gmail.com,9586.8,2018-02-18,2018-08-25
Lizzette Stein,lizzette.stein@yahoo.com,16740,2017-10-27,2018-04-14
Lolita Mosley,lolita.mosley@hotmail.com,6680.44,2017-03-15,2018-04-28
Lorrie Becker,lorrie.becker@yahoo.com,23026.29,2016-06-01,2018-04-11
Lyndsey Bean,lyndsey.bean@hotmail.com,32675.07,2017-08-14,2018-09-06
Merlene Vinson,merlene.vinson@gmail.com,12793.63,2016-10-28,2018-04-15
Monika Berg,monika.berg@gmail.com,8902.51,2016-03-20,2018-04-21
Mozelle Carter,mozelle.carter@aol.com,23049.06,2016-04-03,2018-04-29
Pamelia Newman,pamelia.newman@gmail.com,33634.26,2017-04-07,2018-08-23
Robby Sykes,robby.sykes@hotmail.com,24305.14,2016-03-06,2018-04-23
Ronna Butler,ronna.butler@gmail.com,17240.56,2016-12-09,2018-04-27
Saturnina Garner,saturnina.garner@gmail.com,14068.24,2016-08-22,2018-07-12
Tameka Fisher,tameka.fisher@aol.com,24051.53,2018-03-27,2018-10-21
Tobie Little,tobie.little@gmail.com,17124,2017-10-12,2018-04-28
Williemae Holloway,williemae.holloway@msn.com,19756.64,2016-04-06,2018-04-06
